timestamp,open,high,low,close,volume
17/11/2017,83.12,83.12,82.24,82.4,21715498
16/11/2017,83.1,83.42,82.94,83.2,20956837
15/11/2017,83.47,83.69,82.69,82.98,19097333
14/11/2017,83.5,84.1,82.98,84.05,18604034
13/11/2017,83.66,83.94,83.46,83.93,14080820
10/11/2017,83.79,84.1,83.23,83.87,19340435
09/11/2017,84.11,84.27,82.9,84.09,20924172
08/11/2017,84.14,84.61,83.83,84.56,18034170
07/11/2017,84.77,84.9,83.93,84.27,17152583
06/11/2017,84.2,84.7,84.08,84.47,19039847
03/11/2017,84.08,84.54,83.4,84.14,17569120
02/11/2017,83.35,84.46,83.12,84.05,23822964
01/11/2017,83.68,83.76,82.88,83.18,22039635
31/10/2017,84.36,84.36,83.11,83.18,26728947
30/10/2017,83.7,84.33,83.11,83.89,31291801
27/10/2017,84.37,86.2,83.61,83.81,70877350
26/10/2017,79.2,79.42,78.75,78.76,29181652
25/10/2017,78.58,79.1,78.01,78.63,19714512
24/10/2017,78.9,79.2,78.46,78.86,16613928
23/10/2017,78.99,79.34,78.76,78.83,20479731
20/10/2017,78.32,78.97,78.22,78.81,22517092
19/10/2017,77.57,77.93,77.35,77.91,14982129
18/10/2017,77.67,77.85,77.37,77.61,13147124
17/10/2017,77.47,77.62,77.25,77.59,15953665
16/10/2017,77.42,77.81,77.35,77.65,12331147
13/10/2017,77.59,77.87,77.29,77.49,15250772
12/10/2017,76.49,77.29,76.37,77.12,16778148
11/10/2017,76.36,76.46,75.95,76.42,14780652
10/10/2017,76.33,76.63,76.14,76.29,13734627
09/10/2017,75.97,76.55,75.86,76.29,11364275
06/10/2017,75.67,76.03,75.54,76,13692791
05/10/2017,75.22,76.12,74.96,75.97,20656238
04/10/2017,74.09,74.72,73.71,74.69,13287346
03/10/2017,74.67,74.88,74.19,74.26,11935853
02/10/2017,74.71,75.01,74.3,74.61,15210338
29/09/2017,73.94,74.54,73.88,74.49,16700435
28/09/2017,73.54,73.97,73.31,73.87,10814063
27/09/2017,73.55,74.17,73.17,73.85,18934048
26/09/2017,73.67,73.81,72.99,73.26,17105469
25/09/2017,74.09,74.25,72.92,73.26,23502422
22/09/2017,73.99,74.51,73.85,74.41,13969937
21/09/2017,75.11,75.24,74.11,74.21,19038998
20/09/2017,75.35,75.55,74.31,74.94,20415084
19/09/2017,75.21,75.71,75.01,75.44,15606870
18/09/2017,75.23,75.97,75.04,75.16,22730355
15/09/2017,74.83,75.39,74.07,75.31,37901927
14/09/2017,75,75.49,74.52,74.77,15373384
13/09/2017,74.93,75.23,74.55,75.21,12998629
12/09/2017,74.76,75.24,74.37,74.68,14003880
11/09/2017,74.31,74.94,74.31,74.76,17428067
08/09/2017,74.33,74.44,73.84,73.98,14474383
07/09/2017,73.68,74.6,73.6,74.34,17165518
06/09/2017,73.74,74.04,73.35,73.4,15945136
05/09/2017,73.34,73.89,72.98,73.61,21432599
01/09/2017,74.71,74.74,73.64,73.94,21593192
31/08/2017,74.03,74.96,73.8,74.77,26688077
30/08/2017,73.01,74.21,72.83,74.01,16826094
29/08/2017,72.25,73.16,72.05,73.05,11325418
28/08/2017,73.06,73.09,72.55,72.83,14112777
25/08/2017,72.86,73.35,72.48,72.82,12574503
24/08/2017,72.74,72.86,72.07,72.69,15980144
23/08/2017,72.96,73.15,72.53,72.72,13586784
22/08/2017,72.35,73.24,72.35,73.16,14183146
21/08/2017,72.47,72.48,71.7,72.15,17656716
18/08/2017,72.27,72.84,71.93,72.49,18215276
17/08/2017,73.58,73.87,72.4,72.4,21834250
16/08/2017,73.34,74.1,73.17,73.65,17814317
15/08/2017,73.59,73.59,73.04,73.22,17791179
14/08/2017,73.06,73.72,72.95,73.59,19756773
